product_id,product_name,sub_category_id
OFF-AR-10001166,staples in misc. colors,4
OFF-EN-10003072,peel & seel envelopes,10
OFF-BI-10000320,gbc plastic binding combs,5
OFF-PA-10001166,xerox 2,7
OFF-PA-10003656,xerox 1935,7
TEC-PH-10000148,cyber acoustics ac-202b speech recognition stereo headset,8
TEC-PH-10003885,cisco spa508g,8
OFF-LA-10001175,avery 514,2
OFF-PA-10000955,southworth 25% cotton granite paper & envelopes,7
FUR-FU-10003975,eldon advantage chair mats for low to medium pile carpets,11
OFF-BI-10003707,aluminum screw posts,5
OFF-AR-10000203,newell 336,4
OFF-AR-10004790,staples in misc. colors,4
TEC-AC-10004761,maxell 4.7gb dvd+rw 3/pack,9
OFF-AP-10000055,belkin f9s820v06 8 outlet surge,6
FUR-FU-10000293,eldon antistatic chair mats for low to medium pile carpets,11
OFF-AR-10000716,dixon ticonderoga erasable checking pencils,4
FUR-FU-10004622,eldon advantage foldable chair mats for low pile carpets,11
